container,mem_mb,cpu_pct,sample
xcommerce-db-notification,45.0,0.65,23
xcommerce-db-cart,44.9,0.64,23
xcommerce-prometheus,89.6,0.00,23
xcommerce-jaeger,2.5,0.01,23
xcommerce-zookeeper,138.7,0.19,23
xcommerce-gateway,458.1,1.69,24
xcommerce-kafdrop,388.8,0.14,24
xcommerce-order-service,426.8,0.22,24
xcommerce-identity-service,398.6,0.49,24
xcommerce-inventory-service,379.2,0.63,24
xcommerce-notification-service,374.6,0.78,24
xcommerce-catalog-service,421.9,0.06,24
xcommerce-cart-service,423.9,0.11,24
xcommerce-grafana,261.0,1.13,24
xcommerce-kafka,876.7,1.99,24
xcommerce-db-inventory,46.4,0.01,24
xcommerce-db-orders,127.1,0.00,24
xcommerce-db-catalog,44.6,0.00,24
xcommerce-db-identity,42.1,0.00,24
xcommerce-db-notification,45.0,0.00,24
xcommerce-db-cart,44.9,0.02,24
xcommerce-prometheus,89.8,0.38,24
xcommerce-jaeger,2.5,0.22,24
xcommerce-zookeeper,139.0,0.31,24
